1,1,0.002849002849002849,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.NTFTstrategy@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
6,2,0.017094017094017096,BoulwareNegotiationParty@1,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
7,1,0.019943019943019943,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.NTFTstrategy@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
7,2,0.019943019943019943,BoulwareNegotiationParty@1,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
8,1,0.022792022792022793,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.NTFTstrategy@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
8,2,0.022792022792022793,BoulwareNegotiationParty@1,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
9,1,0.02564102564102564,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.NTFTstrategy@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Photo, Music: DJ, Cleanup: Specialized Materials])
9,2,0.02564102564102564,BoulwareNegotiationParty@1,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
10,1,0.02849002849002849,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.NTFTstrategy@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
10,2,0.02849002849002849,BoulwareNegotiationParty@1,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
11,1,0.03133903133903134,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.NTFTstrategy@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
11,2,0.03133903133903134,BoulwareNegotiationParty@1,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
12,1,0.03418803418803419,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.NTFTstrategy@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
12,2,0.03418803418803419,BoulwareNegotiationParty@1,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
13,1,0.037037037037037035,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.NTFTstrategy@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
13,2,0.037037037037037035,BoulwareNegotiationParty@1,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
14,1,0.039886039886039885,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.NTFTstrategy@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Photo, Music: DJ, Cleanup: Specialized Materials])
14,2,0.039886039886039885,BoulwareNegotiationParty@1,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
15,1,0.042735042735042736,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.NTFTstrategy@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
15,2,0.042735042735042736,BoulwareNegotiationParty@1,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
16,1,0.045584045584045586,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.NTFTstrategy@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
16,2,0.045584045584045586,BoulwareNegotiationParty@1,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
17,1,0.04843304843304843,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.NTFTstrategy@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
17,2,0.04843304843304843,BoulwareNegotiationParty@1,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
18,1,0.05128205128205128,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.NTFTstrategy@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Photo, Music: DJ, Cleanup: Specialized Materials])
18,2,0.05128205128205128,BoulwareNegotiationParty@1,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
19,1,0.05413105413105413,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.NTFTstrategy@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Photo, Music: DJ, Cleanup: Specialized Materials])
19,2,0.05413105413105413,BoulwareNegotiationParty@1,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
20,1,0.05698005698005698,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.NTFTstrategy@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
20,2,0.05698005698005698,BoulwareNegotiationParty@1,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
21,1,0.05982905982905983,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.NTFTstrategy@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
21,2,0.05982905982905983,BoulwareNegotiationParty@1,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
22,1,0.06267806267806268,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.NTFTstrategy@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
22,2,0.06267806267806268,BoulwareNegotiationParty@1,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
23,1,0.06552706552706553,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.NTFTstrategy@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Photo, Music: DJ, Cleanup: Specialized Materials])
23,2,0.06552706552706553,BoulwareNegotiationParty@1,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
24,1,0.06837606837606838,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.NTFTstrategy@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Photo, Music: DJ, Cleanup: Specialized Materials])
24,2,0.06837606837606838,BoulwareNegotiationParty@1,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
25,1,0.07122507122507123,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.NTFTstrategy@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
25,2,0.07122507122507123,BoulwareNegotiationParty@1,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
26,1,0.07407407407407407,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.NTFTstrategy@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
26,2,0.07407407407407407,BoulwareNegotiationParty@1,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
27,1,0.07692307692307693,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.NTFTstrategy@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Photo, Music: DJ, Cleanup: Specialized Materials])
27,2,0.07692307692307693,BoulwareNegotiationParty@1,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
28,1,0.07977207977207977,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.NTFTstrategy@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Photo, Music: DJ, Cleanup: Specialized Materials])
28,2,0.07977207977207977,BoulwareNegotiationParty@1,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
29,1,0.08262108262108261,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.NTFTstrategy@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Printed, Music: DJ, Cleanup: Specialized Materials])
29,2,0.08262108262108261,BoulwareNegotiationParty@1,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
30,1,0.08547008547008547,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.NTFTstrategy@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Specialized Materials])
30,2,0.08547008547008547,BoulwareNegotiationParty@1,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
31,1,0.08831908831908832,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.NTFTstrategy@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Printed, Music: DJ, Cleanup: Specialized Materials])
31,2,0.08831908831908832,BoulwareNegotiationParty@1,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
32,1,0.09116809116809117,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.NTFTstrategy@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Printed, Music: DJ, Cleanup: Specialized Materials])
32,2,0.09116809116809117,BoulwareNegotiationParty@1,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
33,1,0.09401709401709402,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.NTFTstrategy@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Printed, Music: DJ, Cleanup: Specialized Materials])
33,2,0.09401709401709402,BoulwareNegotiationParty@1,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
34,1,0.09686609686609686,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.NTFTstrategy@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Photo, Music: DJ, Cleanup: Specialized Materials])
34,2,0.09686609686609686,BoulwareNegotiationParty@1,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
35,1,0.09971509971509972,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.NTFTstrategy@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Photo, Music: DJ, Cleanup: Specialized Materials])
35,2,0.09971509971509972,BoulwareNegotiationParty@1,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
36,1,0.10256410256410256,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.NTFTstrategy@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Printed, Music: DJ, Cleanup: Specialized Materials])
36,2,0.10256410256410256,BoulwareNegotiationParty@1,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
37,1,0.10541310541310542,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.NTFTstrategy@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Printed, Music: DJ, Cleanup: Specialized Materials])
37,2,0.10541310541310542,BoulwareNegotiationParty@1,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
38,1,0.10826210826210826,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.NTFTstrategy@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Water and Soap])
38,2,0.10826210826210826,BoulwareNegotiationParty@1,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
39,1,0.1111111111111111,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.NTFTstrategy@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Photo, Music: DJ, Cleanup: Specialized Materials])
39,2,0.1111111111111111,BoulwareNegotiationParty@1,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
40,1,0.11396011396011396,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.NTFTstrategy@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Water and Soap])
40,2,0.11396011396011396,BoulwareNegotiationParty@1,(Offer  bid:Bid[Food: Catering, Drinks: Handmade Cocktails, Location: Party Room, Invitations: Custom, Printed, Music: MP3, Cleanup: Water and Soap])
41,1,0.1168091168091168,boa-negotiator.boaframework.offeringstrategy.anac2012.IAMHaggler2012_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-E..projects.workspace.GABidding.bin.upv.es.bidding.GAOpponentModel_n_n_opponent-negotiator.boaframework.omstrategy.NTFTstrategy@0,(Offer  bid:Bid[Food: Chips and Nuts, Drinks: Beer Only, Location: Party Room, Invitations: Custom, Handmade, Music: DJ, Cleanup: Water and Soap])
