1,1,0.0033222591362126247,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
15,1,0.04983388704318937,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
15,2,0.04983388704318937,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
16,1,0.053156146179401995,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
16,2,0.053156146179401995,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
17,1,0.05647840531561462,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
17,2,0.05647840531561462,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
18,1,0.059800664451827246,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
18,2,0.059800664451827246,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
19,1,0.06312292358803986,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
19,2,0.06312292358803986,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
20,1,0.0664451827242525,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
20,2,0.0664451827242525,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
21,1,0.06976744186046512,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
21,2,0.06976744186046512,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
22,1,0.07308970099667775,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
22,2,0.07308970099667775,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 75 kW])
23,1,0.07641196013289037,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
23,2,0.07641196013289037,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
24,1,0.07973421926910298,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
24,2,0.07973421926910298,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
25,1,0.08305647840531562,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
25,2,0.08305647840531562,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
26,1,0.08637873754152824,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
26,2,0.08637873754152824,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
27,1,0.08970099667774087,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
27,2,0.08970099667774087,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 75 kW])
28,1,0.09302325581395349,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
28,2,0.09302325581395349,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
29,1,0.09634551495016612,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
29,2,0.09634551495016612,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 100 kW])
30,1,0.09966777408637874,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
30,2,0.09966777408637874,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 100 kW, 2100-0000: 75 kW])
31,1,0.10299003322259136,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
31,2,0.10299003322259136,boa-negotiator.boaframework.offeringstrategy.anac2010.AgentK_Offering-negotiator.boaframework.acceptanceconditions.anac2010.AC_AgentK-.Users.coke.Desktop.UPV.Cursos.Negociacion.Autom.tica.GABidding.bin.upv.es.bidding.GAOpponentModel_n_opponent_n-negotiator.boaframework.omstrategy.NTFTstrategy@5,(Offer  bid:Bid[0000-0300: 100 kW, 0300-0600: 100 kW, 0600-0900: 100 kW, 0900-1200: 100 kW, 1200-1500: 100 kW, 1500-1800: 100 kW, 1800-2100: 75 kW, 2100-0000: 100 kW])
32,1,0.10631229235880399,BoulwareNegotiationParty@4,(Offer  bid:Bid[0000-0300: 0 kW, 0300-0600: 0 kW, 0600-0900: 0 kW, 0900-1200: 0 kW, 1200-1500: 0 kW, 1500-1800: 0 kW, 1800-2100: 0 kW, 2100-0000: 0 kW])
